age,annual_income_gbp,employment_years,home_owner,num_credit_lines,inquiries_6m,credit_limit_gbp,loan_amount_gbp,loan_term_months,credit_utilization,debt_to_income,num_late_payments_12m,past_default,default
38,45592,10.5,1,4,2,24689,10420,12,0.51,0.145,0,0,0
48,55127,8.3,1,4,1,46869,10376,24,0.515,0.246,5,1,1
32,37527,7.0,0,4,0,20250,12944,24,0.182,0.312,2,1,1
37,35750,4.9,0,3,0,5516,3800,24,0.466,0.07,0,0,0
39,40832,2.9,0,3,1,19360,21859,48,0.635,0.484,1,1,0
39,77944,1.3,1,1,1,16476,4168,60,0.443,0.075,4,1,1
25,81637,1.0,1,6,1,51534,4599,60,0.122,0.254,2,1,0
39,88207,7.4,1,4,1,46951,6046,24,0.239,0.184,1,0,1
53,53520,13.9,1,6,2,28374,1834,48,0.238,0.185,2,1,0
21,39208,0.4,0,7,0,15165,1344,36,0.373,0.241,0,0,1
47,17381,5.2,0,5,0,17380,10729,12,0.341,0.469,0,0,0
39,62360,3.2,0,7,0,31871,12884,36,0.468,0.196,2,1,0
31,69525,8.5,1,4,2,53451,6494,48,0.433,0.0,0,0,0
60,35081,10.9,1,5,1,10490,4884,48,0.291,0.366,0,0,0
46,68260,5.0,1,7,0,38886,11085,48,0.335,0.244,3,1,0
25,88981,4.7,0,6,0,60072,11319,48,0.337,0.154,1,0,0
39,46132,0.0,0,3,0,17255,16168,48,0.584,0.331,0,0,0
44,78322,7.1,0,1,1,20330,10849,60,0.731,0.211,1,0,0
36,51877,4.3,1,3,1,30973,6209,48,0.614,0.316,1,0,1
46,16869,6.3,1,3,3,9778,7579,48,0.408,0.363,0,0,0
37,33777,0.1,0,4,0,10218,19552,12,0.447,0.467,0,0,0
45,34960,10.9,1,7,4,13179,8540,12,0.32,0.223,0,0,0
54,58613,15.9,1,5,0,50389,11321,48,0.347,0.25,0,0,0
31,27247,0.0,0,4,1,9905,7490,48,0.559,0.212,2,0,0
40,34414,6.0,0,5,1,29822,6185,36,0.254,0.395,5,1,0
33,25804,6.4,1,4,1,22715,6321,48,0.57,0.281,0,0,0
39,42889,14.6,1,3,0,9848,15514,36,0.757,0.224,1,1,0
25,45523,0.0,0,4,2,28454,8027,48,0.416,0.288,0,0,0
32,74883,0.0,0,3,0,38634,9070,12,0.567,0.18,0,0,0
36,67917,4.4,0,5,0,34230,3754,36,0.121,0.148,0,0,0
48,47963,15.7,1,9,0,20425,1576,48,0.277,0.2,0,0,0
51,50029,8.4,1,5,0,37209,8379,12,0.496,0.134,0,0,1
23,46516,2.4,0,2,1,10421,4619,24,0.39,0.202,1,1,0
29,46615,10.1,0,2,1,26665,6709,12,0.52,0.239,1,0,0
45,102583,0.0,1,6,2,46582,7272,36,0.487,0.092,0,0,0
18,12000,0.0,0,7,1,12071,8363,60,0.618,0.477,2,1,1
33,39782,7.4,1,2,3,32808,9153,24,0.64,0.22,2,1,0
37,52041,7.9,1,5,1,24635,12329,36,0.292,0.219,1,0,0
52,81570,2.8,0,5,2,43737,2984,36,0.56,0.168,6,1,0
46,24003,9.0,1,2,1,10864,6446,36,0.516,0.3,0,0,0
34,53028,4.3,1,1,2,10254,7116,48,0.599,0.099,1,0,0
34,70395,4.9,1,4,2,42669,3432,24,0.38,0.286,3,1,0
35,34298,1.0,0,1,2,7407,3753,12,0.382,0.132,0,0,0
55,15336,7.3,0,5,2,10032,7540,24,0.262,0.367,0,0,0
33,35951,0.2,0,5,5,7002,14478,36,0.313,0.388,0,0,0
35,22638,4.4,0,4,3,7659,13641,48,0.625,0.431,0,0,1
42,62684,5.0,0,7,2,30921,10781,24,0.655,0.252,3,1,0
37,27443,11.6,0,2,1,17980,4911,36,0.216,0.198,1,1,0
36,116675,7.0,1,3,1,80000,5992,60,0.399,0.04,0,0,0
26,47366,0.0,1,5,0,26860,13822,36,0.393,0.216,1,0,0
38,28138,6.7,1,4,2,11173,3653,12,0.203,0.186,0,0,0
33,33200,9.7,1,4,2,11439,7956,24,0.473,0.306,0,0,0
51,24032,9.4,1,2,0,15034,5958,48,0.422,0.331,3,1,1
45,54290,11.3,1,3,1,29606,8073,60,0.374,0.177,3,1,0
38,99509,4.8,1,3,0,72075,10686,48,0.342,0.173,2,0,0
45,38922,9.7,1,7,2,15194,4716,48,0.251,0.243,2,1,0
34,72876,0.2,1,5,0,52056,8366,48,0.399,0.205,1,1,0
50,26096,11.1,1,5,2,15597,7474,48,0.13,0.244,1,0,0
38,51911,0.0,0,4,0,29501,7571,48,0.09,0.262,0,0,0
44,155591,11.9,1,7,3,54450,6437,48,0.641,0.188,1,0,0
24,20227,0.0,0,6,1,11606,15974,24,0.498,0.636,1,0,1
42,86302,0.0,0,4,1,27511,11630,36,0.406,0.259,0,0,1
19,83563,2.5,0,3,1,35919,16549,48,0.685,0.229,6,1,0
18,15581,0.0,0,6,2,6834,4749,12,0.155,0.148,5,1,1
35,19909,4.6,0,3,1,19475,6685,36,0.622,0.132,4,1,0
28,25615,4.3,0,4,2,17430,17390,48,0.703,0.513,2,1,1
40,74652,5.3,1,1,1,43832,10831,36,0.217,0.274,5,1,1
63,34610,7.5,0,3,1,17551,4830,48,0.385,0.261,4,1,1
29,39961,3.6,0,2,1,23290,4370,36,0.25,0.251,0,0,0
31,64653,4.7,1,2,1,49592,7508,48,0.281,0.129,4,1,0
40,46747,7.6,1,4,0,21532,9602,24,0.135,0.178,0,0,1
43,49601,14.5,1,2,0,15606,26629,24,0.482,0.467,2,0,0
36,36713,1.5,0,6,2,17061,5421,36,0.547,0.194,0,0,0
36,81291,4.7,0,6,0,25747,4593,48,0.417,0.143,0,0,1
46,28556,9.2,0,9,0,17549,3852,36,0.098,0.16,6,1,0
44,110048,4.6,1,7,0,64141,4464,24,0.373,0.262,3,1,1
27,36367,0.0,0,2,1,19107,3504,12,0.705,0.079,0,0,1
37,28239,2.5,0,8,0,24928,5077,24,0.592,0.356,2,1,0
38,62492,9.5,1,5,3,27525,3377,24,0.157,0.296,2,1,0
26,56113,1.0,0,4,0,20488,10890,48,0.359,0.381,1,0,1
41,14733,8.2,1,7,0,9261,4600,36,0.174,0.447,2,1,0
29,49442,0.0,1,5,1,21996,13786,36,0.355,0.192,0,0,0
49,20833,9.5,1,3,1,10163,10117,12,0.326,0.339,1,0,0
40,27735,2.8,0,9,0,3047,7775,48,0.39,0.188,1,0,0
39,67456,1.8,1,3,3,40555,6040,36,0.56,0.196,0,0,0
31,27230,3.8,0,4,2,1500,4760,24,0.306,0.228,1,0,0
37,53190,4.9,0,5,1,41873,10565,36,0.213,0.0,0,0,0
18,35497,6.0,1,3,1,19566,9247,24,0.164,0.151,1,0,0
26,126630,0.0,1,8,2,61593,6978,48,0.593,0.047,3,1,0
42,41474,8.1,0,7,1,16280,13269,12,0.565,0.469,2,0,0
18,22907,6.6,0,6,1,10904,3585,48,0.678,0.258,0,0,0
47,23805,12.9,1,5,3,12715,4999,36,0.565,0.196,0,0,0
19,26550,0.0,0,7,1,1500,5897,60,0.329,0.237,0,0,0
46,46849,4.3,0,3,0,26839,11686,36,0.362,0.284,1,0,0
29,43593,0.6,1,4,3,31610,3329,24,0.238,0.128,2,1,1
47,74392,8.4,1,3,1,52941,3083,24,0.368,0.049,2,0,0
39,47843,6.1,0,6,1,31524,4805,36,0.414,0.177,4,1,0
21,46826,2.2,1,5,0,13469,11531,36,0.359,0.228,1,0,0
52,52120,10.9,1,4,2,24763,7734,36,0.444,0.307,0,0,0
54,40606,4.6,0,1,1,21738,7168,36,0.652,0.154,0,0,0
37,51196,0.2,0,3,3,41914,5026,36,0.532,0.207,3,1,1
35,67046,0.0,0,5,3,39834,12046,48,0.507,0.294,1,0,0
36,67040,0.0,0,2,5,46223,4369,24,0.673,0.303,4,1,0
27,32279,1.9,0,4,5,15927,7938,36,0.23,0.36,1,1,0
50,16472,9.3,0,6,2,2449,4793,24,0.301,0.193,1,0,0
32,27918,13.9,1,8,1,2893,17033,36,0.592,0.481,1,1,0
37,50833,7.0,0,5,2,22179,10021,24,0.293,0.26,0,0,1
29,12000,2.9,0,4,3,6453,8387,12,0.227,0.55,0,0,0
31,33498,9.1,1,6,1,23940,4405,60,0.138,0.177,0,0,0
24,55693,0.0,0,4,1,39142,8301,36,0.525,0.247,1,0,0
52,31895,9.8,0,5,0,16595,6598,36,0.702,0.233,2,0,0
36,23508,8.6,1,4,0,13148,7420,24,0.498,0.352,0,0,0
49,114057,10.9,1,5,3,29839,2808,60,0.46,0.272,2,0,0
38,93084,6.7,1,1,0,61113,5045,60,0.772,0.226,0,1,0
30,37695,1.7,0,8,0,11111,14364,36,0.501,0.254,0,0,0
34,89910,0.0,1,4,5,28556,5735,60,0.557,0.155,1,0,1
32,88707,2.8,0,1,1,43791,6196,60,0.372,0.192,0,0,0
38,23324,2.6,1,6,2,16810,13253,60,0.574,0.437,1,0,0
34,189588,6.8,1,2,0,69967,9378,36,0.308,0.114,1,1,0
35,25922,3.6,0,6,0,17114,8293,48,0.393,0.303,1,0,1
23,37543,3.5,1,7,0,11861,4170,24,0.578,0.171,1,0,0
29,23746,0.0,0,4,0,13497,7428,36,0.577,0.239,0,0,0
56,45257,13.5,1,7,2,28258,4910,48,0.15,0.104,0,0,1
31,21036,0.0,0,2,2,12832,15462,60,0.287,0.421,4,1,1
26,43172,0.0,0,2,1,21198,500,36,0.401,0.015,1,1,0
42,78585,0.3,0,4,2,25528,4558,24,0.446,0.104,1,0,0
53,48715,6.3,1,4,1,26992,5499,24,0.301,0.185,1,0,0
22,37447,5.6,1,5,0,15647,7779,60,0.365,0.341,2,0,0
36,101306,7.4,1,4,1,54023,5679,36,0.344,0.15,3,1,0
31,26438,0.0,0,4,2,6171,3067,36,0.355,0.232,4,1,0
19,73703,0.5,1,6,2,27399,4721,60,0.879,0.067,2,0,0
46,36640,6.6,1,8,2,13144,4586,48,0.607,0.203,4,1,1
38,48703,0.0,0,3,0,14837,3266,48,0.207,0.095,2,0,0
39,43995,1.1,0,4,2,27282,12556,36,0.369,0.242,2,1,0
30,46382,0.0,0,5,3,31142,3556,36,0.293,0.107,1,0,0
43,41969,2.7,0,5,0,24111,8401,48,0.474,0.111,2,0,1
32,28101,0.0,0,8,2,26473,5069,48,0.359,0.307,0,0,0
36,31593,1.3,0,3,5,19327,11846,48,0.565,0.325,2,0,0
26,55039,0.0,0,3,0,44317,3596,12,0.386,0.171,2,1,0
25,40671,0.0,0,2,3,28734,5265,36,0.561,0.061,0,1,0
53,22758,5.3,1,2,2,14603,16707,36,0.454,0.436,1,0,0
32,29261,8.3,0,3,1,3756,3843,36,0.088,0.337,1,0,0
41,29452,4.4,0,5,3,1500,8079,36,0.19,0.102,0,0,0
38,41808,5.9,0,10,1,24413,6117,24,0.803,0.379,2,1,0
33,47512,6.9,1,3,2,28649,5140,60,0.238,0.193,0,0,0
32,45263,7.3,0,3,0,35118,22782,12,0.566,0.399,0,0,0
45,30039,9.5,0,2,3,30823,9055,12,0.185,0.453,1,0,0
35,43439,1.9,0,2,2,37316,4751,36,0.418,0.15,0,0,0
36,20258,0.1,0,2,3,7539,2155,36,0.511,0.187,0,0,0
38,12000,1.9,0,6,1,10804,20869,36,0.604,1.071,0,0,0
51,41686,6.3,1,5,0,9674,3798,60,0.308,0.176,2,0,0
45,17296,6.9,0,4,1,6882,3650,60,0.365,0.303,0,0,0
42,25503,5.7,0,2,0,10816,7540,12,0.689,0.565,1,0,0
32,22105,7.9,0,8,0,5564,3473,48,0.361,0.323,0,0,0
23,60590,0.8,0,2,2,44304,6410,24,0.588,0.341,0,0,0
48,22031,15.0,1,4,2,5009,11978,36,0.132,0.535,2,1,1
49,49837,11.9,1,5,2,14908,8620,24,0.358,0.258,2,0,1
36,32706,2.6,0,1,2,30611,3419,24,0.351,0.203,1,0,0
44,21669,10.0,1,6,0,1500,5303,24,0.283,0.3,0,0,0
47,17977,0.0,0,3,2,9987,3785,60,0.3,0.253,4,1,1
47,55054,12.9,1,3,2,37467,9096,48,0.453,0.26,0,0,0
48,52780,9.2,0,8,2,39820,7905,24,0.285,0.219,4,1,0
33,65287,5.4,1,2,2,42365,4368,36,0.422,0.103,0,0,0
55,116715,2.3,0,4,0,53353,3887,48,0.147,0.157,3,1,0
24,49476,11.9,0,5,3,39653,830,48,0.449,0.075,0,0,0
47,49704,6.3,1,5,1,15069,4109,36,0.638,0.069,0,0,0
43,39764,5.8,1,8,1,21448,8417,48,0.585,0.208,2,0,0
48,45078,12.0,1,3,3,30498,5268,60,0.23,0.119,0,0,0
59,35063,9.4,0,8,0,24054,5446,36,0.218,0.149,1,0,0
54,25982,5.6,1,4,3,10903,6451,12,0.183,0.292,0,0,0
25,127131,4.5,1,7,2,45874,3512,48,0.733,0.099,0,0,0
19,15244,0.0,0,2,1,9998,8437,36,0.33,0.412,1,0,1
47,48777,10.3,1,4,1,37010,35024,36,0.649,0.543,1,1,0
27,54088,2.8,0,6,0,37475,5143,24,0.128,0.187,0,0,0
38,46031,9.6,1,3,2,12822,8376,36,0.198,0.228,1,0,0
47,24959,2.4,0,6,2,11990,4218,24,0.295,0.207,1,0,0
20,38101,5.6,0,3,3,28077,5387,12,0.594,0.133,1,0,0
18,32829,1.2,0,5,1,20709,21622,36,0.835,0.342,0,0,0
41,23416,13.8,1,2,1,16710,4447,24,0.786,0.298,2,1,1
38,41192,2.5,1,2,2,30786,7950,36,0.278,0.057,0,0,1
35,33749,11.9,1,2,1,14208,5858,36,0.177,0.247,0,0,0
38,31150,8.0,1,6,0,17160,7687,36,0.358,0.188,1,0,0
29,61407,5.9,1,4,0,40429,5507,24,0.752,0.14,0,0,1
21,23540,0.0,0,2,0,1500,5145,36,0.323,0.188,1,0,0
36,53662,6.8,0,8,1,41056,6699,36,0.619,0.048,1,0,0
27,30092,5.1,0,5,2,14399,6365,36,0.307,0.207,1,0,0
20,53216,0.0,0,2,1,15610,5592,36,0.513,0.065,3,1,0
44,43692,1.7,0,5,0,15103,8054,48,0.257,0.176,1,0,0
37,47988,1.7,0,2,1,22510,7559,24,0.419,0.299,0,0,0
42,24524,12.1,1,4,2,12462,9088,48,0.515,0.375,4,1,0
27,27430,2.9,0,4,2,13808,4276,24,0.233,0.176,3,1,0
31,26224,7.0,1,4,1,15630,6870,36,0.575,0.37,5,1,1
27,46166,3.4,0,4,3,19041,5472,24,0.339,0.237,2,0,0
28,63230,3.0,1,3,1,35772,3222,36,0.305,0.167,0,0,1
40,75858,6.4,1,2,1,30593,5303,60,0.432,0.005,1,0,0
29,31835,1.2,0,2,0,31633,15861,48,0.537,0.413,0,0,1
42,43902,11.0,1,6,2,25205,7074,48,0.425,0.354,1,0,1
42,17228,6.6,0,7,0,4760,14113,48,0.511,0.616,3,1,0
60,12388,11.5,1,3,0,1500,13109,36,0.308,0.645,0,0,0
23,26013,0.0,0,9,1,14885,14204,60,0.605,0.437,1,0,1
48,29026,8.7,0,8,1,4685,8820,60,0.646,0.334,3,1,0
37,17828,2.0,0,2,3,2813,9010,48,0.296,0.321,0,1,0
38,15748,2.9,0,4,2,4944,7136,36,0.495,0.317,0,1,0
22,56008,5.3,0,4,0,38843,5195,48,0.56,0.182,1,0,0
33,26874,0.0,0,5,2,13294,10163,36,0.547,0.302,2,0,0
46,16596,6.2,0,5,0,6568,16669,24,0.632,0.682,1,1,1
37,149211,7.3,1,5,1,80000,11700,36,0.329,0.212,2,0,0
39,45837,9.9,0,3,1,12166,4427,48,0.339,0.173,0,0,0
35,35012,2.1,0,5,3,9753,9269,60,0.478,0.2,1,0,1
51,60427,9.5,1,5,0,15009,7441,48,0.633,0.222,0,0,0
38,27448,6.1,1,5,0,25759,4962,36,0.487,0.278,0,0,0
18,99448,0.0,1,5,1,38003,3960,12,0.367,0.118,1,0,0
30,17882,0.0,0,8,2,13002,7423,36,0.641,0.38,2,1,0
18,20301,0.0,0,1,2,6909,11992,60,0.548,0.474,0,0,0
18,38541,2.5,0,4,1,19378,5403,12,0.308,0.205,0,0,0
32,27299,4.0,0,6,1,9410,10171,60,0.316,0.259,3,1,0
53,89982,3.2,1,4,1,74484,15003,12,0.291,0.265,0,0,0
39,17226,2.5,0,5,3,16205,2552,24,0.677,0.182,2,0,0
25,27774,0.1,0,6,1,10233,5679,60,0.235,0.22,2,0,0
28,47228,0.9,0,6,2,19607,15533,48,0.28,0.169,3,1,0
50,56396,8.0,1,5,0,46197,8177,24,0.627,0.13,1,0,0
40,71737,14.5,1,5,0,53974,19179,60,0.379,0.313,0,0,0
39,49959,1.9,1,4,2,32273,13343,48,0.308,0.183,1,0,0
37,138491,5.4,1,5,2,63385,7004,36,0.3,0.199,0,0,0
38,31882,2.0,0,2,2,21744,10338,36,0.167,0.29,0,0,1
47,45501,4.6,1,4,2,26899,4467,24,0.343,0.219,1,0,0
44,66064,2.9,1,3,3,37939,7355,36,0.145,0.239,3,1,1
40,34721,4.6,0,5,1,24762,6492,12,0.464,0.194,0,0,0
27,35145,0.0,0,3,0,26590,17518,36,0.511,0.265,0,0,1
44,31983,7.8,0,9,1,14239,10004,36,0.272,0.237,3,1,1
30,28970,4.0,0,6,3,1500,10640,36,0.208,0.316,1,0,1
50,22196,4.4,1,9,1,17517,10685,36,0.338,0.326,2,1,1
24,30394,9.3,0,3,1,18236,10026,48,0.314,0.228,1,0,1
36,17616,0.0,0,5,2,8383,3405,24,0.551,0.321,1,0,0
38,50687,6.4,1,9,0,36446,3311,24,0.321,0.049,1,0,0
23,17188,10.2,1,4,2,1500,6242,36,0.241,0.349,4,1,1
57,127516,6.8,1,3,2,52735,11923,60,0.414,0.0,1,0,0
54,104363,14.4,1,4,4,39301,6559,24,0.108,0.065,3,1,1
33,75296,9.5,1,5,2,23088,9747,24,0.438,0.0,0,0,0
46,36582,8.5,0,7,2,23375,15501,36,0.312,0.362,2,1,1
42,29762,0.0,0,6,2,10960,8706,60,0.188,0.334,1,0,0
18,80282,5.8,0,5,1,17807,7600,36,0.164,0.251,1,0,0
41,45308,6.1,0,5,0,31133,8821,24,0.268,0.257,0,0,0
37,55735,2.6,1,3,2,38119,16582,12,0.496,0.46,1,0,1
39,27637,10.4,1,7,2,6264,7268,48,0.262,0.27,0,0,1
26,73527,0.0,1,5,3,42048,6585,60,0.21,0.225,1,0,0
35,26439,8.6,1,6,1,15325,3088,24,0.349,0.119,1,0,0
36,43439,2.3,0,4,0,35014,5166,48,0.327,0.102,1,0,0
51,15868,10.5,0,1,2,12470,5584,36,0.674,0.352,3,1,0
42,28594,1.5,1,7,1,13912,1453,36,0.109,0.14,0,0,0
38,53867,3.4,1,4,3,30934,6022,24,0.471,0.137,1,0,1
55,31974,5.5,0,3,0,11609,19971,36,0.815,0.451,2,0,0
32,32030,0.6,0,6,1,22981,2449,36,0.32,0.142,2,0,1
34,63020,4.7,0,10,4,25495,10160,60,0.2,0.175,1,0,1
18,39287,0.0,0,3,0,29512,9289,24,0.427,0.292,1,0,0
55,80735,10.1,1,5,3,50495,3356,36,0.322,0.056,1,0,0
49,12000,12.9,1,2,2,1500,16984,24,0.359,0.643,1,0,1
48,55797,7.0,0,6,2,26262,1338,60,0.635,0.26,0,0,0
45,53943,0.0,0,5,1,26575,8081,48,0.082,0.201,0,0,0
39,17533,4.1,0,5,3,9781,7331,36,0.434,0.432,0,0,0
40,20059,5.9,0,3,2,12773,9738,48,0.304,0.283,3,0,1
35,66075,8.5,1,7,1,16566,8276,24,0.236,0.038,0,0,0
36,22759,8.7,1,3,3,3305,6076,36,0.476,0.161,1,0,1
39,28812,9.0,0,3,0,21666,2343,48,0.366,0.133,1,0,0
55,56658,8.2,1,8,1,20542,3968,60,0.226,0.23,1,1,0
44,34034,9.2,1,6,2,24056,7201,36,0.194,0.19,0,0,0
37,53005,0.0,0,2,0,39430,4143,48,0.798,0.189,1,0,1
32,25370,8.7,1,3,0,15398,7697,48,0.625,0.196,0,0,0
31,48021,5.0,1,6,2,35864,12273,60,0.644,0.27,5,1,0
56,73826,11.5,1,3,1,17901,6375,12,0.519,0.008,0,0,0
44,48758,4.8,1,7,2,12410,7390,24,0.338,0.088,3,1,0
39,12265,5.4,0,3,1,5193,10540,36,0.181,0.643,1,0,0
34,58288,1.3,1,6,1,19847,11312,24,0.542,0.168,0,0,0
26,42117,4.3,0,4,1,25468,2246,48,0.433,0.186,4,1,0
37,24839,0.0,0,2,0,11543,11932,36,0.269,0.51,1,0,1
48,87484,11.4,1,4,4,27466,7088,36,0.358,0.276,0,1,0
34,15697,6.1,0,7,2,17577,13712,60,0.525,0.649,0,1,0
36,113854,12.6,1,3,2,80000,4598,24,0.574,0.071,1,0,0
36,28841,4.2,0,2,1,15850,13144,24,0.539,0.396,0,0,0
39,96582,4.9,1,7,1,56829,3070,36,0.437,0.179,0,0,0
20,39801,1.4,0,3,0,8520,5043,48,0.176,0.128,0,0,0
35,19680,4.5,0,2,2,7495,3599,48,0.301,0.245,0,0,0
29,42957,2.2,0,1,1,7738,13499,36,0.075,0.361,0,0,0
48,48903,2.9,0,2,2,27755,13104,48,0.241,0.203,1,0,0
30,54860,0.0,0,3,0,13654,1960,48,0.082,0.032,0,0,1
44,72900,4.3,1,6,2,37361,13993,48,0.192,0.071,2,0,0
55,24945,8.0,1,7,2,7003,8886,24,0.163,0.339,0,0,0
35,53388,0.0,1,3,1,31378,5792,48,0.074,0.081,2,1,0
31,61034,0.0,0,2,3,18640,8215,36,0.516,0.224,2,0,0
40,35131,4.4,0,6,1,18722,7162,36,0.297,0.124,0,0,0
38,24411,8.0,0,5,2,10111,2333,36,0.507,0.097,3,1,0
27,24147,1.5,0,6,1,13808,10190,24,0.16,0.338,4,1,1
43,61452,9.0,0,3,2,50658,5275,24,0.133,0.193,2,0,0
60,63140,14.5,1,9,1,29968,6509,12,0.363,0.361,1,1,0
35,25885,7.4,0,3,0,8706,9088,60,0.714,0.322,0,0,1
36,19578,2.7,0,2,4,8182,8779,48,0.373,0.322,0,0,0
27,80320,0.5,0,3,0,64330,10977,36,0.301,0.202,1,0,1
42,17407,0.0,0,4,2,7277,8380,12,0.868,0.431,1,0,1
24,44468,0.0,0,4,0,41292,7354,36,0.175,0.229,1,0,0
26,26214,3.9,0,6,1,4988,3741,48,0.308,0.125,1,0,0
52,15583,4.1,0,5,2,1500,6797,12,0.435,0.31,0,0,0
28,43608,8.0,1,3,1,22675,2354,60,0.596,0.201,0,0,0
50,36711,13.8,0,5,0,25136,4283,36,0.609,0.104,1,1,0
55,89594,7.7,1,3,2,58394,7909,24,0.584,0.161,0,0,0
41,141315,9.5,1,3,3,43293,5292,36,0.332,0.095,1,0,0
44,36749,0.7,1,2,3,8351,6654,48,0.35,0.295,1,1,0
59,71415,6.1,1,4,0,27720,9694,36,0.495,0.069,0,0,0
36,72180,2.9,1,4,0,34835,3734,24,0.503,0.249,1,0,0
31,30586,3.4,0,1,1,6518,8795,12,0.409,0.274,0,0,0
23,25342,0.5,0,5,2,14240,10706,24,0.44,0.383,0,0,0
38,98358,1.6,1,9,0,26630,5596,12,0.093,0.165,0,0,0
54,33349,17.1,1,6,0,22974,22661,36,0.192,0.567,3,0,0
49,40160,8.8,0,1,0,23660,3952,36,0.62,0.172,2,1,0
28,34729,3.6,1,6,2,8549,2227,60,0.396,0.174,5,1,0
29,37864,5.4,1,5,0,19833,3235,24,0.482,0.315,1,0,0
32,29261,4.3,0,5,0,12991,6505,36,0.369,0.257,0,0,0
41,61354,4.9,0,4,1,20900,20511,12,0.6,0.315,3,1,1
36,80990,2.2,1,4,1,39151,11331,24,0.583,0.158,0,1,0
40,33202,0.0,0,4,0,16216,3580,24,0.181,0.061,1,0,0
41,19133,11.9,1,4,1,16908,4801,60,0.583,0.29,1,1,0
35,41870,0.4,0,5,3,26389,2776,36,0.474,0.02,3,1,1
38,18041,0.0,0,3,2,1500,4900,12,0.151,0.224,1,0,0
40,28697,2.3,0,7,2,12568,3138,36,0.546,0.024,1,0,0
37,79873,0.0,1,2,0,51709,6962,36,0.218,0.027,1,0,0
44,145080,14.5,1,3,1,80000,10028,24,0.181,0.209,2,1,0
59,50032,11.6,0,3,2,30523,8772,36,0.487,0.232,3,1,1
45,22732,12.4,1,10,3,16706,4669,12,0.526,0.251,4,1,1
39,62414,11.1,1,5,1,32716,15969,36,0.606,0.146,1,0,0
19,12000,2.7,0,1,2,4533,24504,36,0.655,1.169,1,1,0
42,27844,8.4,0,3,4,21911,11527,36,0.336,0.293,1,0,0
18,93748,0.0,1,5,2,20977,3391,36,0.561,0.148,0,0,0
23,61231,0.8,1,4,1,19983,5793,24,0.418,0.243,3,0,0
47,19131,4.9,0,4,2,4094,3110,36,0.128,0.147,1,0,0
46,16387,7.1,1,1,2,11343,11968,48,0.274,0.485,1,0,0
36,65033,1.7,0,3,1,39485,5553,24,0.186,0.112,1,0,0
19,39678,5.5,1,4,2,21516,4891,24,0.43,0.246,1,0,0
34,29429,7.1,1,4,0,11444,9906,12,0.665,0.284,0,0,0
