device,visitor_type,time_of_day,day_type,session_duration_min,page_views,items_to_cart,days_since_last_visit,main_product_category,delivery_speed,return_policy,product_rating_mean,purchase
mobile,returning,afternoon,weekday,9.99,8,0,25,beauty,next_day,basic,4.35,0
desktop,new,morning,weekday,3.95,9,0,274,beauty,standard,basic,4.41,0
mobile,new,afternoon,weekday,3.9,4,0,220,fashion,standard,extended,3.57,0
mobile,new,night,weekday,2.65,1,0,284,home,standard,basic,4.07,0
mobile,new,afternoon,weekend,4.8,5,1,144,beauty,next_day,extended,4.82,0
mobile,returning,morning,weekday,5.89,13,0,16,electronics,standard,extended,4.17,0
desktop,new,afternoon,weekend,3.16,11,1,330,fashion,express,basic,4.23,0
mobile,new,night,weekday,1.88,4,0,337,electronics,standard,basic,4.07,0
desktop,new,night,weekday,3.86,3,0,269,electronics,standard,basic,4.56,0
desktop,new,morning,weekend,2.73,9,0,92,fashion,express,basic,3.28,0
mobile,new,evening,weekend,3.41,7,0,79,home,express,extended,4.15,0
desktop,returning,morning,weekday,5.8,7,1,4,home,express,basic,3.98,0
mobile,new,evening,weekday,2.85,3,1,322,sports,standard,basic,3.95,0
mobile,new,morning,weekend,6.55,3,0,325,sports,next_day,basic,3.86,0
mobile,returning,evening,weekend,7.63,11,3,25,beauty,standard,basic,4.41,1
desktop,new,night,weekday,4.02,6,1,317,fashion,next_day,basic,3.9,1
mobile,new,morning,weekday,1.98,4,0,195,electronics,standard,extended,4.43,0
mobile,new,afternoon,weekday,3.44,3,0,84,home,standard,basic,3.71,0
mobile,new,morning,weekday,3.52,6,1,116,fashion,standard,basic,4.33,1
mobile,new,afternoon,weekday,3.67,9,0,316,fashion,express,basic,3.85,0
desktop,returning,morning,weekday,4.66,6,2,20,books,express,extended,4.15,1
mobile,returning,afternoon,weekday,3.1,5,0,19,electronics,standard,extended,4.66,0
mobile,new,night,weekday,4.07,3,0,331,electronics,standard,basic,3.71,0
mobile,new,morning,weekday,2.76,2,0,285,books,standard,basic,4.53,0
desktop,new,night,weekday,3.95,7,0,42,fashion,standard,extended,3.96,0
mobile,new,morning,weekday,4.0,9,0,92,fashion,express,extended,4.09,1
mobile,returning,afternoon,weekday,5.15,8,0,18,electronics,standard,basic,4.12,0
mobile,returning,afternoon,weekend,5.25,10,1,4,fashion,standard,extended,3.18,0
tablet,returning,night,weekday,3.97,7,0,52,books,standard,extended,4.25,1
tablet,new,morning,weekday,4.26,3,1,106,home,standard,basic,4.07,0
desktop,returning,morning,weekday,3.99,7,1,6,beauty,next_day,basic,4.17,1
mobile,new,evening,weekday,1.92,6,0,256,fashion,standard,basic,4.1,0
tablet,new,evening,weekday,2.33,7,0,42,fashion,next_day,basic,3.66,0
desktop,returning,evening,weekday,4.48,7,1,14,home,express,extended,4.53,1
desktop,new,morning,weekday,1.8,5,0,64,fashion,standard,basic,4.32,0
mobile,returning,afternoon,weekday,1.75,4,0,17,electronics,standard,basic,4.07,0
mobile,returning,evening,weekday,6.26,4,1,6,home,express,basic,4.37,1
mobile,returning,evening,weekday,7.88,9,1,20,sports,express,extended,3.7,1
tablet,new,evening,weekday,5.07,5,1,265,books,standard,basic,4.32,0
mobile,new,afternoon,weekday,2.49,6,1,135,sports,next_day,basic,4.04,0
mobile,returning,afternoon,weekday,1.2,5,2,10,beauty,standard,basic,4.2,1
mobile,returning,night,weekend,5.2,6,0,17,sports,standard,extended,3.5,0
desktop,new,evening,weekday,1.22,8,0,103,books,standard,basic,4.19,0
mobile,returning,morning,weekday,5.12,13,1,25,electronics,express,basic,4.34,1
desktop,new,night,weekday,2.82,7,2,219,fashion,standard,extended,3.96,1
desktop,new,evening,weekday,0.4,4,0,121,fashion,standard,basic,4.09,0
desktop,returning,afternoon,weekday,8.61,8,2,12,books,standard,extended,4.34,1
mobile,new,afternoon,weekday,0.86,8,3,160,books,standard,basic,4.54,1
desktop,new,evening,weekday,3.85,5,1,82,sports,standard,extended,4.72,0
desktop,returning,afternoon,weekday,5.53,11,0,13,fashion,express,basic,3.57,0
desktop,returning,evening,weekday,4.91,9,0,19,books,standard,basic,4.46,0
mobile,returning,evening,weekday,6.68,6,0,12,electronics,next_day,basic,3.93,1
mobile,new,morning,weekend,2.24,7,0,218,fashion,express,extended,4.27,0
mobile,returning,night,weekend,5.6,4,1,4,home,express,extended,3.96,1
mobile,new,afternoon,weekend,4.17,3,0,46,sports,next_day,basic,3.83,0
mobile,new,afternoon,weekday,0.61,4,1,63,books,standard,basic,4.67,0
mobile,new,evening,weekday,4.7,4,3,105,fashion,standard,basic,3.98,1
mobile,returning,evening,weekday,3.29,5,0,17,fashion,standard,basic,3.46,0
desktop,returning,afternoon,weekend,3.05,11,0,19,beauty,standard,basic,4.42,0
mobile,returning,evening,weekday,6.31,6,0,26,electronics,standard,extended,3.97,1
tablet,returning,night,weekday,3.94,4,0,2,sports,express,basic,4.02,0
desktop,new,evening,weekday,5.68,4,0,189,fashion,express,extended,3.8,0
mobile,new,evening,weekend,5.0,5,1,138,fashion,standard,basic,4.22,1
desktop,new,afternoon,weekend,1.5,4,1,165,fashion,express,extended,4.03,0
mobile,new,afternoon,weekday,5.06,3,0,321,home,standard,basic,4.12,0
tablet,new,evening,weekday,4.5,5,1,149,books,standard,basic,4.24,0
mobile,returning,morning,weekend,3.87,8,1,14,fashion,standard,extended,4.23,1
desktop,returning,evening,weekend,6.11,12,0,16,electronics,standard,basic,4.21,1
mobile,returning,afternoon,weekend,6.42,6,0,1,books,standard,extended,4.39,1
mobile,new,afternoon,weekday,2.83,4,0,245,home,standard,extended,4.25,0
mobile,new,afternoon,weekday,8.24,5,0,354,fashion,standard,extended,3.85,0
tablet,new,afternoon,weekend,6.93,5,1,128,fashion,standard,extended,4.41,1
desktop,new,afternoon,weekday,4.45,4,0,237,books,express,basic,4.64,0
mobile,new,evening,weekday,3.42,4,0,122,home,standard,basic,4.37,0
mobile,new,evening,weekday,3.81,3,0,187,fashion,express,extended,4.47,1
mobile,new,afternoon,weekday,2.74,6,0,138,electronics,express,basic,3.67,0
mobile,returning,morning,weekend,5.36,5,0,8,fashion,standard,basic,3.37,0
mobile,new,evening,weekday,5.64,7,0,178,fashion,standard,basic,4.19,0
mobile,new,morning,weekday,1.17,8,0,208,electronics,next_day,extended,3.64,0
desktop,new,afternoon,weekday,5.85,6,0,82,fashion,standard,basic,4.51,0
desktop,new,afternoon,weekend,6.66,9,0,163,electronics,standard,basic,4.17,0
mobile,new,evening,weekend,5.4,8,1,61,fashion,express,extended,4.15,1
mobile,new,night,weekday,3.23,4,0,246,beauty,express,extended,4.5,0
mobile,new,evening,weekday,5.01,7,1,135,beauty,express,basic,4.0,0
desktop,new,night,weekday,6.93,9,0,60,sports,express,basic,4.09,0
mobile,returning,night,weekend,4.98,3,0,39,fashion,standard,extended,3.97,0
desktop,new,morning,weekday,4.25,10,2,310,books,express,basic,4.18,0
desktop,new,afternoon,weekday,8.68,6,0,363,books,standard,basic,4.65,0
desktop,new,afternoon,weekend,4.85,7,0,354,books,express,extended,4.72,1
mobile,new,afternoon,weekday,1.68,7,0,88,fashion,standard,basic,3.52,0
tablet,new,evening,weekday,6.03,10,0,100,fashion,standard,basic,3.87,0
mobile,returning,morning,weekday,5.64,4,0,15,home,standard,basic,4.56,0
mobile,new,morning,weekday,2.62,5,0,242,electronics,express,basic,4.94,0
mobile,returning,afternoon,weekday,2.98,4,0,20,electronics,standard,basic,4.23,0
mobile,new,evening,weekday,4.9,6,1,299,electronics,express,basic,4.09,0
desktop,new,evening,weekday,4.47,4,1,51,home,standard,extended,4.18,0
desktop,new,night,weekend,1.59,8,1,216,sports,standard,extended,3.62,0
mobile,new,morning,weekday,3.61,3,0,222,fashion,standard,basic,3.8,0
tablet,new,afternoon,weekday,3.18,2,0,344,books,standard,basic,4.15,0
mobile,returning,night,weekday,4.67,10,0,17,sports,express,basic,4.33,0
mobile,returning,evening,weekend,6.73,8,0,4,electronics,next_day,basic,4.32,1
mobile,returning,evening,weekday,1.8,9,1,17,fashion,express,basic,4.29,0
tablet,new,afternoon,weekday,1.66,6,1,120,electronics,standard,basic,4.36,1
mobile,returning,morning,weekend,3.78,8,0,10,books,standard,basic,4.92,0
mobile,new,night,weekday,6.28,3,0,188,sports,next_day,basic,4.16,0
mobile,new,evening,weekday,8.87,3,0,235,home,express,basic,3.75,0
tablet,returning,evening,weekend,5.21,8,0,27,home,express,extended,3.64,0
desktop,returning,afternoon,weekday,5.9,6,1,10,fashion,standard,extended,4.33,0
desktop,returning,afternoon,weekday,0.4,5,1,3,books,express,extended,4.33,0
desktop,returning,afternoon,weekday,7.4,5,2,14,books,standard,extended,4.02,1
desktop,new,evening,weekend,5.54,11,2,294,sports,express,basic,3.92,0
mobile,returning,afternoon,weekend,5.39,11,1,17,beauty,next_day,basic,4.24,0
mobile,new,morning,weekday,1.38,2,0,237,electronics,next_day,extended,4.16,0
desktop,returning,afternoon,weekday,10.16,7,0,11,electronics,standard,basic,4.01,0
desktop,returning,night,weekday,9.19,9,1,6,electronics,express,basic,3.76,0
mobile,new,afternoon,weekday,4.12,4,0,191,home,standard,extended,4.28,0
mobile,new,afternoon,weekday,5.58,2,1,171,sports,standard,extended,4.13,0
desktop,new,evening,weekday,4.71,6,2,105,books,express,extended,4.15,0
mobile,new,evening,weekday,6.12,6,0,154,electronics,standard,basic,4.45,0
tablet,new,evening,weekday,1.45,5,0,130,fashion,standard,extended,3.92,0
mobile,returning,night,weekday,0.53,5,1,11,electronics,express,basic,4.07,0
mobile,new,morning,weekday,0.83,8,0,156,books,express,basic,4.35,0
desktop,returning,night,weekday,3.81,7,0,18,sports,standard,extended,3.98,1
mobile,new,night,weekday,2.15,6,0,301,beauty,standard,basic,4.26,0
mobile,new,afternoon,weekday,4.44,6,0,141,home,express,extended,3.67,0
desktop,new,evening,weekday,4.06,7,0,49,home,standard,extended,4.34,1
desktop,returning,morning,weekday,5.74,8,2,38,fashion,standard,extended,3.65,1
mobile,new,afternoon,weekday,1.31,5,0,92,fashion,standard,basic,3.24,0
mobile,new,morning,weekend,1.13,5,0,341,fashion,express,basic,4.19,0
desktop,new,morning,weekend,4.59,4,0,207,fashion,standard,extended,4.16,1
tablet,returning,night,weekend,3.66,4,1,19,home,standard,basic,3.92,0
mobile,new,afternoon,weekday,3.81,12,1,167,fashion,next_day,basic,3.25,0
mobile,new,evening,weekend,5.04,3,0,269,sports,express,basic,4.0,0
mobile,returning,afternoon,weekday,8.24,9,1,12,home,express,basic,3.74,0
mobile,returning,afternoon,weekday,4.76,8,1,1,beauty,express,extended,3.91,1
mobile,new,afternoon,weekday,7.31,9,1,35,books,next_day,basic,4.3,0
desktop,new,afternoon,weekday,5.35,7,0,94,fashion,standard,extended,4.16,1
mobile,new,evening,weekday,5.35,5,1,123,home,standard,basic,4.25,0
mobile,new,night,weekday,6.21,5,1,93,electronics,express,basic,4.33,0
desktop,returning,afternoon,weekend,7.01,5,0,22,sports,next_day,basic,3.79,1
desktop,new,night,weekday,2.52,9,0,54,beauty,express,extended,4.47,0
mobile,new,evening,weekday,6.47,7,1,70,fashion,standard,basic,4.29,0
desktop,new,evening,weekend,4.31,7,1,178,electronics,next_day,basic,4.5,0
desktop,new,morning,weekday,4.83,10,0,118,home,express,basic,3.79,0
desktop,new,morning,weekday,4.48,3,0,141,home,standard,basic,4.24,0
mobile,returning,night,weekday,7.2,5,1,9,home,next_day,basic,4.15,1
mobile,new,evening,weekday,4.73,7,0,218,beauty,express,basic,4.35,0
tablet,returning,afternoon,weekend,1.89,2,0,39,home,express,basic,3.53,0
mobile,returning,evening,weekday,9.59,6,0,9,home,next_day,basic,4.52,0
mobile,new,afternoon,weekend,5.55,7,0,344,fashion,standard,basic,3.02,0
mobile,new,evening,weekday,2.74,8,2,93,beauty,express,extended,4.25,0
desktop,new,afternoon,weekday,1.81,3,0,95,beauty,standard,extended,4.36,0
tablet,new,night,weekend,5.49,4,0,161,sports,express,extended,4.05,0
mobile,new,afternoon,weekday,1.36,5,0,69,beauty,express,extended,4.46,0
tablet,returning,morning,weekday,6.48,3,0,23,beauty,express,basic,4.76,0
mobile,new,evening,weekday,6.15,7,0,154,books,express,basic,4.22,0
mobile,new,morning,weekday,2.14,4,0,210,books,express,basic,4.12,0
desktop,new,night,weekend,2.95,6,0,123,fashion,standard,basic,3.63,0
mobile,new,evening,weekday,2.91,3,0,121,books,standard,extended,4.08,0
mobile,returning,morning,weekday,3.22,8,0,8,electronics,standard,basic,4.11,0
mobile,new,morning,weekend,3.98,5,0,67,sports,express,basic,4.14,0
tablet,returning,night,weekday,5.88,7,0,5,fashion,express,basic,4.85,0
desktop,returning,evening,weekday,7.43,12,0,14,beauty,express,extended,4.46,1
tablet,new,night,weekend,1.75,6,2,266,books,standard,basic,4.75,0
desktop,new,morning,weekend,6.46,4,0,270,electronics,express,basic,3.79,0
mobile,new,night,weekday,1.43,6,0,98,sports,standard,basic,3.74,0
desktop,returning,afternoon,weekday,7.26,5,1,9,beauty,next_day,extended,4.03,0
mobile,new,evening,weekend,1.28,5,1,153,electronics,express,extended,4.14,0
mobile,returning,afternoon,weekend,8.09,8,0,13,books,standard,basic,4.47,1
desktop,returning,morning,weekday,4.4,10,2,35,beauty,express,extended,4.98,1
desktop,returning,night,weekday,6.76,13,0,4,books,standard,basic,4.61,1
mobile,new,night,weekday,4.92,5,2,144,sports,standard,basic,4.1,0
mobile,new,afternoon,weekend,1.33,3,0,197,electronics,express,basic,4.16,0
desktop,returning,night,weekend,7.55,4,0,2,fashion,express,basic,4.01,0
desktop,new,morning,weekday,3.34,9,1,74,fashion,standard,basic,4.79,1
desktop,returning,morning,weekday,4.86,9,0,13,beauty,standard,basic,4.03,1
mobile,new,morning,weekday,2.59,6,0,236,electronics,standard,extended,4.34,0
mobile,new,afternoon,weekday,7.19,3,0,173,fashion,standard,basic,4.07,0
mobile,returning,morning,weekday,2.34,6,0,8,sports,standard,basic,3.39,0
desktop,new,afternoon,weekday,5.6,4,1,52,electronics,standard,basic,4.04,1
desktop,new,morning,weekday,2.89,7,1,304,home,next_day,extended,4.49,0
mobile,new,evening,weekend,6.19,5,1,165,beauty,standard,basic,4.39,0
mobile,new,evening,weekday,9.27,5,0,285,electronics,standard,basic,4.03,0
mobile,returning,evening,weekday,4.38,5,1,13,electronics,standard,basic,4.09,1
desktop,new,morning,weekend,4.99,8,2,165,electronics,standard,basic,4.3,0
desktop,new,evening,weekday,3.79,7,0,136,home,express,basic,4.39,0
mobile,new,afternoon,weekday,6.18,8,0,120,electronics,standard,extended,4.45,0
mobile,returning,evening,weekday,4.68,7,0,4,sports,standard,basic,4.41,0
desktop,new,evening,weekend,6.5,6,2,268,sports,next_day,basic,3.62,1
mobile,returning,afternoon,weekday,4.46,8,1,13,electronics,express,extended,4.85,0
desktop,returning,morning,weekday,10.21,8,1,13,books,standard,extended,4.18,1
mobile,new,evening,weekday,0.4,5,0,211,books,standard,extended,4.3,0
mobile,returning,night,weekday,6.09,5,3,18,electronics,express,basic,4.74,1
tablet,returning,evening,weekend,5.18,6,0,20,books,express,extended,4.17,0
mobile,new,night,weekday,3.7,4,0,285,fashion,next_day,basic,4.38,0
mobile,new,night,weekday,4.1,4,0,353,home,standard,basic,4.39,0
mobile,returning,morning,weekday,5.42,6,2,10,electronics,express,basic,4.16,1
mobile,returning,evening,weekday,5.66,10,0,16,sports,standard,basic,3.46,0
mobile,returning,afternoon,weekday,5.66,9,0,1,sports,standard,basic,3.85,0
mobile,returning,afternoon,weekend,8.47,4,1,11,books,express,extended,4.28,1
mobile,new,morning,weekday,0.4,8,0,308,books,express,basic,4.62,0
mobile,returning,night,weekday,9.18,7,1,13,electronics,standard,basic,4.0,1
desktop,returning,evening,weekday,11.28,13,1,5,home,standard,basic,3.88,1
desktop,new,afternoon,weekend,0.82,5,0,239,fashion,express,basic,3.88,0
mobile,new,afternoon,weekday,4.1,7,1,115,electronics,standard,extended,4.03,0
mobile,new,afternoon,weekend,6.88,4,0,288,electronics,standard,extended,3.83,0
mobile,returning,evening,weekday,7.13,10,1,7,books,standard,extended,4.29,1
desktop,new,night,weekday,7.72,6,0,139,home,standard,extended,4.45,1
desktop,returning,afternoon,weekday,6.78,7,1,5,electronics,express,basic,4.23,0
mobile,new,afternoon,weekday,0.4,6,0,149,books,standard,basic,4.37,0
mobile,new,evening,weekend,6.64,5,0,73,sports,standard,basic,4.08,0
mobile,new,afternoon,weekend,5.13,2,1,297,fashion,express,extended,3.76,0
mobile,new,afternoon,weekday,6.58,5,0,136,beauty,standard,basic,4.25,1
desktop,returning,morning,weekday,2.28,10,1,4,sports,express,basic,3.91,0
mobile,new,morning,weekday,0.95,3,0,251,home,standard,basic,4.33,0
mobile,returning,afternoon,weekday,4.83,8,0,3,beauty,express,basic,4.27,0
mobile,new,night,weekend,6.3,4,0,41,beauty,express,extended,4.39,0
mobile,returning,afternoon,weekend,8.68,9,0,22,electronics,express,extended,3.92,1
mobile,new,afternoon,weekday,1.98,6,0,48,beauty,standard,basic,4.41,0
desktop,new,evening,weekday,4.05,7,1,141,fashion,express,basic,3.43,0
mobile,new,night,weekday,9.83,4,2,286,fashion,express,basic,4.18,1
tablet,new,afternoon,weekday,2.64,2,0,89,fashion,standard,basic,3.7,0
mobile,new,morning,weekday,4.92,4,1,205,home,standard,basic,3.47,0
desktop,returning,evening,weekday,4.95,9,0,7,beauty,standard,basic,4.63,0
tablet,new,afternoon,weekend,4.5,5,1,217,beauty,standard,basic,4.14,1
tablet,new,evening,weekend,2.58,4,2,269,electronics,standard,extended,3.89,0
desktop,new,afternoon,weekday,2.44,7,0,113,books,next_day,extended,4.24,0
desktop,new,morning,weekday,3.72,7,2,124,fashion,next_day,basic,3.66,0
desktop,returning,afternoon,weekday,4.66,12,1,20,fashion,standard,extended,3.45,1
desktop,new,evening,weekday,4.26,5,1,295,fashion,next_day,extended,4.01,0
mobile,returning,afternoon,weekday,5.9,8,0,3,home,express,basic,3.81,0
mobile,returning,morning,weekend,8.77,8,0,15,beauty,standard,basic,4.4,1
mobile,new,afternoon,weekday,2.56,6,0,169,fashion,next_day,basic,4.26,0
desktop,new,evening,weekday,2.52,10,1,73,books,express,basic,4.56,0
mobile,new,morning,weekday,3.52,2,0,354,sports,standard,basic,4.27,0
mobile,new,evening,weekday,2.11,5,1,297,beauty,standard,basic,4.45,1
desktop,new,evening,weekend,1.17,7,0,46,beauty,standard,extended,4.86,1
mobile,returning,afternoon,weekday,7.03,7,0,8,books,next_day,extended,4.27,1
mobile,returning,night,weekday,4.97,7,1,5,books,standard,basic,4.67,1
mobile,new,night,weekend,3.87,7,0,57,home,standard,extended,3.87,0
mobile,returning,afternoon,weekday,0.75,8,0,31,sports,standard,extended,3.93,0
mobile,new,morning,weekday,2.27,5,2,88,books,standard,basic,4.31,0
mobile,returning,afternoon,weekday,1.83,10,2,30,books,standard,basic,4.93,0
mobile,new,morning,weekday,3.96,7,0,136,electronics,next_day,extended,3.91,0
mobile,new,evening,weekday,4.18,3,0,344,books,standard,extended,4.66,0
mobile,returning,night,weekend,5.08,5,2,25,home,next_day,extended,4.54,1
desktop,returning,night,weekday,4.1,7,0,18,home,standard,basic,3.81,0
mobile,returning,afternoon,weekday,3.31,10,1,4,fashion,standard,extended,3.91,1
tablet,new,afternoon,weekend,3.39,8,0,82,fashion,standard,basic,3.88,0
tablet,returning,morning,weekday,5.55,8,0,11,sports,standard,basic,3.95,0
mobile,new,evening,weekday,2.68,4,1,61,home,express,basic,3.92,0
mobile,new,morning,weekday,1.83,4,0,91,fashion,express,extended,4.53,0
mobile,new,night,weekday,1.62,3,0,139,home,standard,basic,3.71,0
desktop,new,night,weekday,3.32,10,1,346,electronics,next_day,basic,4.45,0
desktop,new,morning,weekday,3.25,11,2,339,beauty,express,extended,4.42,1
desktop,new,evening,weekday,2.29,7,0,221,home,standard,basic,3.96,0
mobile,returning,evening,weekday,4.26,7,0,17,home,express,extended,4.41,1
desktop,returning,evening,weekday,9.0,10,1,6,electronics,express,basic,4.18,0
mobile,returning,afternoon,weekday,4.68,5,1,4,electronics,express,basic,3.82,0
desktop,new,morning,weekday,1.9,8,0,179,fashion,standard,basic,3.43,0
mobile,returning,evening,weekday,0.46,12,2,21,home,standard,extended,3.67,1
desktop,new,morning,weekday,8.06,5,1,215,books,standard,extended,4.39,0
desktop,new,evening,weekday,6.99,6,0,183,sports,standard,basic,3.97,0
mobile,returning,morning,weekday,5.4,6,1,4,sports,standard,extended,4.56,1
desktop,new,evening,weekday,7.34,7,2,170,fashion,express,extended,4.63,1
mobile,new,evening,weekday,5.51,7,0,174,electronics,standard,basic,4.45,0
desktop,new,morning,weekday,4.04,4,0,107,books,standard,basic,4.42,0
mobile,new,afternoon,weekend,0.9,3,0,188,beauty,standard,extended,4.02,0
tablet,returning,evening,weekday,9.71,6,0,15,electronics,standard,basic,4.53,1
mobile,new,morning,weekday,2.58,5,0,220,beauty,standard,extended,4.63,0
tablet,new,evening,weekend,3.1,4,0,158,home,express,basic,4.24,0
desktop,new,evening,weekday,4.98,7,0,121,fashion,next_day,extended,3.53,0
desktop,new,afternoon,weekend,4.81,3,0,154,electronics,standard,extended,4.07,1
desktop,returning,evening,weekend,7.11,7,1,19,home,express,basic,3.84,0
desktop,returning,afternoon,weekday,6.97,8,2,34,electronics,next_day,basic,3.98,1
tablet,returning,evening,weekday,3.99,4,2,1,beauty,express,basic,4.19,1
mobile,returning,morning,weekday,4.85,6,1,26,sports,next_day,extended,3.88,1
desktop,new,morning,weekend,5.34,10,0,162,books,standard,basic,4.7,0
mobile,returning,morning,weekday,3.71,7,1,31,fashion,standard,basic,3.96,0
desktop,new,night,weekend,7.74,6,0,259,electronics,express,extended,3.96,0
mobile,new,night,weekday,3.46,5,0,36,beauty,standard,basic,4.09,0
desktop,returning,evening,weekday,9.56,10,2,19,fashion,standard,basic,4.13,1
desktop,new,morning,weekday,1.28,8,1,261,books,standard,basic,4.47,0
mobile,returning,afternoon,weekday,6.17,5,0,32,home,standard,extended,4.67,1
mobile,returning,evening,weekday,3.63,6,0,7,fashion,standard,basic,4.34,0
